"vaccine","country_code","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"HepB","AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.64,0.63,0.66,0.68,0.67,0.64,0.62,0.64,0.66,0.66,0.72,0.72,0.7,0.66,0.69,0.691792342662129,0.693574322446133,0.69534599926759,0.697107432695657,0.698858681955081,0.700599805928183,0.702330863156842,0.704051911844465,0.714051911844465,0.724051911844465,0.734051911844465,0.744051911844465,0.754051911844465,0.764051911844465,0.774051911844465,0.784051911844465,0.794051911844465,0.804051911844465,0.814051911844465,0.824051911844465,0.834051911844465,0.844051911844465,0.854051911844465,0.864051911844465,0.874051911844465,0.884051911844465,0.894051911844465,0.904051911844465,0.914051911844465,0.924051911844465,0.934051911844465,0.944051911844465,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.45,0.47,0.49,0.5,0.52,0.54,0.55,0.59,0.59,0.56,0.63,0.57,0.51,0.45,0.42,0.440598184162864,0.460464842134681,0.479625953417525,0.49810657487456,0.51593087349674,0.533122158005828,0.549702909335063,0.565694810027336,0.575694810027336,0.585694810027336,0.595694810027336,0.605694810027336,0.615694810027336,0.625694810027336,0.635694810027336,0.645694810027336,0.655694810027336,0.665694810027336,0.675694810027336,0.685694810027336,0.695694810027336,0.705694810027336,0.715694810027336,0.725694810027336,0.735694810027336,0.745694810027336,0.755694810027336,0.765694810027336,0.775694810027336,0.785694810027336,0.795694810027336,0.805694810027336,0.815694810027336,0.825694810027336,0.835694810027336,0.845694810027336,0.855694810027336,0.865694810027336,0.875694810027336,0.885694810027336,0.895694810027336,0.905694810027336,0.915694810027336,0.925694810027336,0.935694810027336,0.945694810027336,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","ALB",0,0,0,0,0,0,0,0,0,0.99,0.88,0.96,0.97,0.94,0.96,0.96,0.96,0.96,0.97,0.99,0.98,0.98,0.98,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.99,0.98,0.98,0.97,0.970532156050168,0.971054872431611,0.971568316590224,0.972072653001656,0.972568043223999,0.973054645949542,0.973532617055604,0.974002109654469,0.984002109654469,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"HepB","ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.69,0.91,0.93,0.91,0.91,0.78,0.85,0.89,0.93,0.94,0.95,0.95,0.95,0.93,0.94,0.94,0.94,0.92,0.92,0.92,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
"HepB","AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.51,0.5,0.49,0.52,0.62,0.68,0.74,0.8,0.84,0.88,0.93,0.94,0.96,0.97,0.95,0.95,0.94,0.79,0.89,0.83,0.848648937027459,0.86525209257107,0.880033888101799,0.893194126138379,0.90491069093725,0.915341952917814,0.924628909323127,0.932897090050915,0.942897090050915,0.952897090050915,0.962897090050915,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
"HepB","BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.87,0.92,0.99,0.92,0.94,0.96,0.96,0.96,0.96,0.95,0.94,0.94,0.91,0.9,0.93,0.93,0.94,0.91,0.910711779120902,0.911417929024949,0.912118494231685,0.912813518908566,0.913503046873742,0.914187121598818,0.914865786211601,0.915539083498812,0.925539083498812,0.935539083498812,0.945539083498812,0.955539083498812,0.965539083498812,0.975539083498812,0.985539083498812,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"HepB","BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.73,0.75,0.7,0.74,0.82,0.75,0.79,0.76,0.75,0.8,0.77,0.74,0.74,0.76,0.76,0.76,0.76,0.72,0.76,0.76,0.764027675883017,0.767987759378457,0.771881384820608,0.77570966750738,0.779473704019773,0.783174572535985,0.786813333140242,0.790391028126458,0.800391028126458,0.810391028126458,0.820391028126458,0.830391028126458,0.840391028126458,0.850391028126458,0.860391028126458,0.870391028126458,0.880391028126458,0.890391028126458,0.900391028126458,0.910391028126458,0.920391028126458,0.930391028126458,0.940391028126458,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","BFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.89,0.93,0.92,0.91,0.91,0.9,0.88,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.11,0.45,0.86,0.95,0.96,0.97,0.94,0.96,0.94,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
"HepB","BIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.93,0.9,0.94,0.88,0.9,0.89,0.88,0.92,0.91,0.89,0.82,0.78,0.77,0.8,0.8,0.79,0.79,0.78,0.795136535788231,0.809231641050697,0.822356968743871,0.834579241926317,0.845960592947675,0.856558879300609,0.866427977741383,0.875618058174219,0.885618058174219,0.895618058174219,0.905618058174219,0.915618058174219,0.925618058174219,0.935618058174219,0.945618058174219,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
