"vaccine","country_code","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"HepB","AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.64,0.63,0.66,0.68,0.67,0.64,0.62,0.64,0.66,0.66,0.72,0.72,0.7,0.66,0.69,0.712427338221552,0.733232142573091,0.752531797299387,0.77043519433502,0.787043347691192,0.802449963393963,0.816741968189587,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.45,0.47,0.49,0.5,0.52,0.54,0.55,0.59,0.59,0.56,0.63,0.57,0.51,0.45,0.42,0.502485652574426,0.573240472596044,0.633932779682715,0.685993630637848,0.730650562171233,0.768956534843407,0.801814760699439,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","ALB",0,0,0,0,0,0,0,0,0,0.99,0.88,0.96,0.97,0.94,0.96,0.96,0.96,0.96,0.97,0.99,0.98,0.98,0.98,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.99,0.98,0.98,0.97,0.973849433713848,0.977204929430452,0.980129866535784,0.982679491924311,0.984901963515229,0.986839259870475,0.988527973095601,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"HepB","ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.69,0.91,0.93,0.91,0.91,0.78,0.85,0.89,0.93,0.94,0.95,0.95,0.95,0.93,0.94,0.94,0.94,0.92,0.92,0.92,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
"HepB","AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.51,0.5,0.49,0.52,0.62,0.68,0.74,0.8,0.84,0.88,0.93,0.94,0.96,0.97,0.95,0.95,0.94,0.79,0.89,0.83,0.85586322926866,0.877791713665536,0.896384072065527,0.91214785147761,0.925513382412781,0.936845526342812,0.946453635940091,0.9546,0.9646,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
"HepB","BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.87,0.92,0.99,0.92,0.94,0.96,0.96,0.96,0.96,0.95,0.94,0.94,0.91,0.9,0.93,0.93,0.94,0.91,0.916375516903836,0.92229939807666,0.927803636976665,0.932917960675006,0.937669990404565,0.942085390735587,0.946188008183857,0.95,0.96,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"HepB","BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.73,0.75,0.7,0.74,0.82,0.75,0.79,0.76,0.75,0.8,0.77,0.74,0.74,0.76,0.76,0.76,0.76,0.72,0.76,0.76,0.782299752821583,0.802527509910234,0.820875792068836,0.837519231907281,0.852616235935317,0.866310492220971,0.878732337963935,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","BFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.89,0.93,0.92,0.91,0.91,0.9,0.88,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.914447815754127,0.918675819675114,0.922694874902231,0.926515307716505,0.930146934072346,0.933599084817981,0.936880629669481,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.11,0.45,0.86,0.95,0.96,0.97,0.94,0.96,0.94,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.980025110063545,0.980050188601326,0.980075235652923,0.980100251257868,0.98012523545564,0.980150188285673,0.980175109787349,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802
"HepB","BIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.93,0.9,0.94,0.88,0.9,0.89,0.88,0.92,0.91,0.89,0.82,0.78,0.77,0.8,0.8,0.79,0.79,0.78,0.798259110494972,0.815002788644183,0.830356809205127,0.84443650813896,0.857347648988389,0.869187217349701,0.880044149406822,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
